distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
303.7500,0.2371,10104.6589,0.0017,0.0283,0.1248,273.5263,22.9432
305.0000,0.2519,7651.3242,0.0019,0.0340,0.1369,278.7866,21.7658
306.2500,0.2640,6654.2066,0.0018,0.0446,0.1434,282.7674,21.0735
307.5000,0.2748,7348.6035,0.0014,0.0537,0.1388,286.2344,21.0308
308.7500,0.2788,14706.9786,0.0010,0.0375,0.1101,287.9213,22.5124
310.0000,0.2788,12146.7275,0.0011,0.0409,0.1174,287.8109,22.0888
311.2500,0.2896,4373.0294,0.0022,0.0610,0.1650,290.2135,19.4233
312.5000,0.2950,6392.1297,0.0018,0.0504,0.1454,292.1665,20.2085
313.7500,0.2829,4671.1462,0.0023,0.0534,0.1614,288.3335,19.7332
315.0000,0.2680,5126.0986,0.0018,0.0597,0.1565,283.9237,20.3159
316.2500,0.2680,8385.2774,0.0012,0.0515,0.1328,284.1712,21.5284
317.5000,0.2748,5890.6845,0.0016,0.0590,0.1494,286.0915,20.4942
318.7500,0.2896,32.5808,0.0535,0.3526,0.8447,276.7385,7.7144
320.0000,0.3071,17.4874,0.1361,0.3308,1.0394,271.5022,6.5945
321.2500,0.4162,37.1526,0.0961,0.2600,0.8085,279.0951,7.7308
322.5000,0.3798,41.5430,0.0621,0.3317,0.7790,280.2387,7.9845
323.7500,0.2950,21.6250,0.0475,0.6442,0.9683,274.0134,6.9635
325.0000,0.2909,5631.5660,0.0019,0.0533,0.1516,290.8681,20.0024
326.2500,0.2909,3519.6508,0.0024,0.0674,0.1774,290.3438,18.8626
327.5000,0.2627,2952.1761,0.0030,0.0596,0.1881,281.9753,19.0153
328.7500,0.2425,5172.5403,0.0020,0.0469,0.1560,275.5424,21.0226
330.0000,0.2236,3825.3126,0.0018,0.0647,0.1725,268.9657,20.7376
331.2500,0.2128,8146.2435,0.0011,0.0493,0.1341,264.2645,23.2458
332.5000,0.2101,12056.1164,0.0009,0.0370,0.1177,262.8534,24.4303
333.7500,0.2169,7018.0755,0.0015,0.0422,0.1409,265.9903,22.6797
335.0000,0.2142,3374.6856,0.0027,0.0468,0.1799,265.5745,20.6573
336.2500,0.2074,3020.5369,0.0024,0.0586,0.1866,263.1361,20.5329
337.5000,0.2142,6611.3963,0.0015,0.0447,0.1437,264.9702,22.6090
338.7500,0.2142,4231.5417,0.0018,0.0571,0.1668,265.3559,21.3236
340.0000,0.2128,2745.8244,0.0026,0.0598,0.1927,265.2893,20.0827
341.2500,0.2249,4901.8581,0.0019,0.0486,0.1588,269.3081,21.4009
342.5000,0.2276,9584.8164,0.0012,0.0398,0.1270,270.0018,23.1373
343.7500,0.2317,5002.6800,0.0018,0.0528,0.1577,271.7557,21.2496
345.0000,0.2263,2867.0628,0.0023,0.0685,0.1899,270.1177,19.8301
346.2500,0.2223,6969.3941,0.0016,0.0401,0.1412,268.0901,22.4699
347.5000,0.2303,9322.8088,0.0015,0.0337,0.1282,271.0356,22.9689
348.7500,0.2303,6564.8639,0.0015,0.0457,0.1441,271.1615,22.0349
350.0000,0.2290,5050.3143,0.0014,0.0668,0.1572,270.7764,21.3583
351.2500,0.2330,7411.4406,0.0012,0.0536,0.1384,272.1129,22.2722
352.5000,0.2276,4535.4412,0.0015,0.0660,0.1630,270.3378,21.0994
353.7500,0.2196,5438.8325,0.0014,0.0577,0.1534,267.2161,21.8689
355.0000,0.2169,6889.5767,0.0013,0.0495,0.1418,266.0036,22.6280
356.2500,0.2128,6010.1583,0.0014,0.0497,0.1484,264.5148,22.3859
357.5000,0.2128,4322.7159,0.0016,0.0631,0.1656,264.8162,21.4301
358.7500,0.2115,1622.6264,0.0025,0.1040,0.2296,265.4613,18.5264
360.0000,0.2034,2475.1059,0.0020,0.0828,0.1994,261.8595,20.0469
361.2500,0.1994,11247.2136,0.0009,0.0378,0.1204,258.2794,24.7085
362.5000,0.2007,4138.8897,0.0017,0.0592,0.1680,260.0426,21.7143
363.7500,0.2101,4202.3730,0.0016,0.0631,0.1672,263.7962,21.4362
365.0000,0.2169,5858.3210,0.0016,0.0468,0.1497,266.1234,22.1710
366.2500,0.2236,6199.1734,0.0016,0.0466,0.1469,268.6706,22.1004
367.5000,0.2317,4457.6409,0.0022,0.0483,0.1639,271.8002,20.9301
368.7500,0.2398,5588.2878,0.0017,0.0515,0.1520,274.5965,21.3082
370.0000,0.2371,3551.2904,0.0020,0.0668,0.1768,273.7565,20.1454
371.2500,0.2425,3811.4079,0.0023,0.0566,0.1727,275.5709,20.1960
372.5000,0.2573,4917.3332,0.0023,0.0455,0.1586,280.4850,20.4841
373.7500,0.2761,4472.8060,0.0025,0.0493,0.1637,286.3023,19.7796
375.0000,0.2788,3391.6019,0.0027,0.0612,0.1796,286.8636,19.0222
376.2500,0.2721,3158.0782,0.0024,0.0709,0.1839,284.8370,18.9843
377.5000,0.2600,2877.7027,0.0024,0.0756,0.1897,281.1429,19.0078
378.7500,0.2627,3037.6035,0.0026,0.0671,0.1863,281.9895,19.0908
380.0000,0.2761,4891.6406,0.0020,0.0570,0.1589,286.3700,20.0028
381.2500,0.2842,4751.4226,0.0020,0.0609,0.1605,288.7434,19.7446
382.5000,0.2923,3283.8377,0.0026,0.0695,0.1815,290.6310,18.6641
383.7500,0.3017,2817.8691,0.0027,0.0808,0.1910,292.9506,18.1077
385.0000,0.2963,1608.6771,0.0037,0.1020,0.2302,290.6340,16.8010
386.2500,0.2936,1433.4639,0.0035,0.1184,0.2393,289.7589,16.5503
387.5000,0.3031,2478.6554,0.0031,0.0799,0.1993,293.0926,17.7685
388.7500,0.3058,1716.2261,0.0035,0.1010,0.2253,293.0996,16.8138
390.0000,0.3004,1455.9036,0.0041,0.1008,0.2380,291.4552,16.4854
391.2500,0.3179,1595.2925,0.0049,0.0811,0.2309,295.8495,16.4504
392.5000,0.3219,3387.0415,0.0032,0.0597,0.1796,298.4635,18.1860
393.7500,0.3165,5935.9211,0.0024,0.0448,0.1490,298.0390,19.5739
395.0000,0.3381,8779.9778,0.0023,0.0332,0.1308,304.3027,19.9807
396.2500,0.3556,6105.8156,0.0030,0.0396,0.1476,307.9247,18.8981
397.5000,0.3731,5170.7746,0.0030,0.0486,0.1560,311.5658,18.2629
398.7500,0.3825,7638.8539,0.0024,0.0415,0.1370,314.6703,18.8915
400.0000,0.3798,1199.0548,0.0057,0.1123,0.2539,307.9011,15.0140
401.2500,0.3206,199.0502,0.0212,0.1515,0.4621,289.0491,11.4044
402.5000,0.2357,1220.8108,0.0067,0.0596,0.2524,273.6813,17.1384
403.7500,0.2182,4086.8102,0.0020,0.0530,0.1687,266.9217,21.0932
405.0000,0.2263,2499.4619,0.0036,0.0508,0.1988,270.2071,19.4323
406.2500,0.2546,2514.5092,0.0048,0.0424,0.1984,279.4414,18.7653
407.5000,0.2802,3748.9589,0.0031,0.0476,0.1737,287.3458,19.2462
408.7500,0.2936,3693.0794,0.0030,0.0529,0.1745,291.1509,18.9261
410.0000,0.3044,5420.2881,0.0025,0.0443,0.1536,294.6239,19.6180
411.2500,0.3031,5339.6607,0.0025,0.0443,0.1543,294.2325,19.6116
412.5000,0.2734,2410.3345,0.0042,0.0549,0.2012,285.0100,18.2536
413.7500,0.2559,7182.1875,0.0018,0.0401,0.1398,280.1393,21.4887
415.0000,0.2640,4157.2112,0.0025,0.0520,0.1678,282.5576,19.8802
416.2500,0.2842,2393.6457,0.0040,0.0598,0.2017,288.0203,18.0254
417.5000,0.2802,1162.6874,0.0056,0.0869,0.2566,286.0348,16.2192
418.7500,0.2734,2875.1462,0.0033,0.0580,0.1897,285.1578,18.7126
420.0000,0.2856,5805.6439,0.0024,0.0402,0.1501,289.3239,20.1993
421.2500,0.3044,3175.1492,0.0045,0.0424,0.1836,293.8486,18.3488
422.5000,0.3246,4291.5321,0.0031,0.0498,0.1660,299.5947,18.6834
423.7500,0.3260,4345.0917,0.0029,0.0516,0.1653,299.9592,18.6869
425.0000,0.3233,4499.3581,0.0027,0.0527,0.1634,299.3384,18.8160
426.2500,0.3112,2374.1750,0.0036,0.0733,0.2022,295.0716,17.5245
427.5000,0.2923,2430.4553,0.0040,0.0614,0.2007,290.2298,17.9132
428.7500,0.2815,3987.4545,0.0025,0.0554,0.1701,287.7943,19.3712
430.0000,0.2815,4376.0844,0.0025,0.0523,0.1649,287.8795,19.6025
431.2500,0.2896,6902.6091,0.0022,0.0384,0.1417,290.6751,20.5136
432.5000,0.2923,6569.1043,0.0024,0.0379,0.1440,291.4155,20.3344
433.7500,0.2802,3510.8820,0.0032,0.0496,0.1775,287.2851,19.0809
435.0000,0.2815,2309.0344,0.0035,0.0692,0.2041,287.2372,17.9842
436.2500,0.2896,2574.0324,0.0039,0.0568,0.1969,289.5815,18.1079
437.5000,0.2613,1596.4410,0.0058,0.0568,0.2308,281.2503,17.3912
438.7500,0.2519,1851.2269,0.0050,0.0551,0.2197,278.5447,17.9839
440.0000,0.2950,1011.1614,0.0106,0.0550,0.2688,289.4441,15.6381
441.2500,0.3327,2864.8268,0.0049,0.0479,0.1900,300.7430,17.6160
442.5000,0.3327,3375.3443,0.0044,0.0459,0.1798,301.1132,17.9933
443.7500,0.3341,2519.8789,0.0050,0.0539,0.1983,300.7559,17.2972
445.0000,0.3529,3540.4777,0.0042,0.0473,0.1770,305.9942,17.7735
446.2500,0.3448,4683.4589,0.0035,0.0418,0.1612,304.7628,18.5193
447.5000,0.3381,2304.0319,0.0048,0.0622,0.2043,301.4675,17.0278
448.7500,0.3704,689.2294,0.0111,0.0996,0.3054,303.5434,13.8614
450.0000,0.3839,1046.8391,0.0088,0.0851,0.2657,308.0255,14.6703
451.2500,0.4081,1225.9506,0.0126,0.0540,0.2521,313.1663,14.7750
452.5000,0.4930,1246.8284,0.0136,0.0582,0.2507,326.8735,14.0779
453.7500,0.4957,1435.1695,0.0134,0.0517,0.2392,328.2417,14.3268
455.0000,0.4337,1542.7853,0.0094,0.0604,0.2335,318.8195,15.0097
456.2500,0.3650,878.8357,0.0129,0.0657,0.2816,303.7217,14.4664
457.5000,0.3287,5232.6663,0.0027,0.0462,0.1554,300.9869,19.0545
458.7500,0.3300,7254.5906,0.0026,0.0354,0.1394,301.9006,19.7417
460.0000,0.3327,5429.0817,0.0031,0.0402,0.1535,302.0785,19.0601
461.2500,0.3489,4156.2568,0.0037,0.0458,0.1678,305.4515,18.1904
462.5000,0.3529,5819.2323,0.0032,0.0379,0.1500,307.1770,18.8444
